,orig_chars,orig_chars,orig_chars,orig_chars,orig_words,orig_words,orig_words,orig_words,orig_sents,orig_sents,orig_sents,orig_sents,para_chars,para_chars,para_chars,para_chars,para_words,para_words,para_words,para_words,para_sents,para_sents,para_sents,para_sents,char_ratio,char_ratio,char_ratio,char_ratio
,count,sum,mean,std,count,sum,mean,std,count,sum,mean,std,count,sum,mean,std,count,sum,mean,std,count,sum,mean,std,count,sum,mean,std
source_file,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acordaos_tcu.parquet.final,150733,414874814,2752.38,2986.09,150733,78180788,518.67,559.28,150733,2551126,16.92,16.74,150733,141054266,935.79,593.15,150733,26933999,178.69,112.5,150733,1685767,11.18,6.77,150733,83737.85,0.56,0.27
datastf_paraphrases_v2.parquet.final,99244,294661838,2969.06,2846.58,99244,54396968,548.11,529.57,99244,3314347,33.4,28.56,99244,85074111,857.22,655.91,99244,16590575,167.17,122.63,99244,1370463,13.81,9.98,99244,44518.09,0.45,0.26
iudicium_textum_paraphrases_v2.parquet.final,31718,76020403,2396.76,2389.16,31718,14338943,452.08,448.96,31718,761119,24.0,21.3,31718,28378814,894.72,460.29,31718,5622765,177.27,90.61,31718,387212,12.21,6.36,31718,17798.47,0.56,0.28
mlp_pt_BRCAD-5.parquet.final,200257,902127632,4504.85,3142.66,200257,173753234,867.65,599.83,200257,7233533,36.12,25.51,200257,252024105,1258.5,568.13,200257,49765120,248.51,108.64,200257,3562777,17.79,7.03,200257,75701.56,0.38,0.2
mlp_pt_CJPG.parquet.final,167921,527821562,3143.27,2847.75,167921,105287277,627.0,562.57,167921,5019753,29.89,25.51,167921,175601107,1045.74,576.25,167921,35982921,214.28,115.44,167921,2671991,15.91,6.95,167921,82806.64,0.49,0.25
tesemo_v2.parquet.final,316471,960056922,3033.63,2777.04,316471,181367372,573.09,526.6,316471,10339389,32.67,28.36,316471,320966341,1014.2,701.39,316471,62620059,197.87,134.41,316471,5127786,16.2,10.41,316471,158743.76,0.5,0.25
