dataset,media_sentencas_origem,desvio_sentencas_origem,media_sentencas_destino,desvio_sentencas_destino,media_palavras_origem,desvio_palavras_origem,media_palavras_destino,desvio_palavras_destino,media_caracteres_origem,desvio_caracteres_origem,media_caracteres_destino,desvio_caracteres_destino,numero_documentos
datastf_paraphrases_v2.parquet.final,33.4,28.56,13.81,9.98,550.72,531.96,167.55,123.04,2851.08,2733.56,821.16,628.71,99244
tesemo_v2.parquet.final,32.67,28.36,16.2,10.41,577.7,529.02,199.9,135.92,2915.79,2668.5,973.59,673.54,316471
mlp_pt_BRCAD-5.parquet.final,36.12,25.51,17.79,7.03,871.33,602.77,249.54,109.15,4329.43,3015.75,1204.04,544.18,200257
acordaos_tcu.parquet.final,16.92,16.74,11.18,6.77,522.29,561.91,180.17,113.18,2642.22,2862.77,898.73,569.82,150733
iudicium_textum_paraphrases_v2.parquet.final,24.0,21.3,12.21,6.36,460.22,455.59,179.08,90.78,2311.07,2297.46,863.33,442.75,31718
mlp_pt_CJPG.parquet.final,29.89,25.51,15.91,6.95,637.54,565.32,218.04,116.35,3022.05,2737.17,1002.78,553.42,167921
TODOS_COMBINADOS,30.24,26.32,15.32,8.81,633.68,569.18,206.25,124.11,3158.04,2849.41,995.47,612.51,966344
