dataset,flesch_original_medio,flesch_paraphrase_medio,flesch_diff_medio
datastf_paraphrases_v2.parquet.final,29.953990669461128,40.34646386683326,10.392473197372134
acordaos_tcu.parquet.final,21.04326106426596,40.10998852275215,19.066727458486188
iudicium_textum_paraphrases_v2.parquet.final,41.406780377072955,48.001197112049944,6.594416734976988
mlp_pt_BRCAD-5.parquet.final,26.95954598341132,41.1166056617247,14.157059678313377
tesemo_v2.parquet.final,33.25976885717807,42.76933839119539,9.509569534017324
mlp_pt_CJPG.parquet.final,43.074427081782495,55.12716176058981,12.052734678807312
__TOTAL__,31.681987946321392,44.08233180937637,12.400343863054978
